site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
GUAT 03AUG21 2003.6359 52872 1232 4  -90.5  -2174 -0.743875   1613669  0.148507  1519  0.864046  0.0000 0.000922 0.000754 0.003460 -0.009590 -0.011357  0.058114  14.5904040838  -90.5201829869  1519.86405
GUAT 03AUG22 2003.6386 52873 1232 5  -90.5  -2174 -0.741745   1613669  0.151377  1519  0.872559  0.0000 0.000974 0.000760 0.003694  0.017143 -0.075436 -0.016048  14.5904041097  -90.5201829673  1519.87256
GUAT 03AUG23 2003.6413 52874 1232 6  -90.5  -2174 -0.744126   1613669  0.147432  1519  0.866577  0.0000 0.000953 0.000803 0.003669  0.002016 -0.019808  0.060707  14.5904040740  -90.5201829895  1519.86658
GUAT 03AUG24 2003.6441 52875 1233 0  -90.5  -2174 -0.745377   1613669  0.148276  1519  0.860276  0.0000 0.000971 0.000781 0.003735  0.012914 -0.043751 -0.051005  14.5904040816  -90.5201830013  1519.86028
GUAT 03AUG25 2003.6468 52876 1233 1  -90.5  -2174 -0.744836   1613669  0.149782  1519  0.873080  0.0000 0.000923 0.000770 0.003518  0.007104  0.012971  0.054021  14.5904040951  -90.5201829965  1519.87308
GUAT 03AUG26 2003.6496 52877 1233 2  -90.5  -2174 -0.744393   1613669  0.152413  1519  0.871411  0.0000 0.000928 0.000769 0.003494 -0.011841 -0.004510 -0.000590  14.5904041189  -90.5201829925  1519.87141
GUAT 03AUG27 2003.6523 52878 1233 3  -90.5  -2174 -0.743570   1613669  0.149745  1519  0.869170  0.0000 0.000912 0.000754 0.003442 -0.004658  0.032016 -0.007345  14.5904040947  -90.5201829850  1519.86917
GUAT 03AUG28 2003.6550 52879 1233 4  -90.5  -2174 -0.744293   1613669  0.148268  1519  0.862480  0.0000 0.000981 0.000772 0.003632 -0.013872  0.026386 -0.048361  14.5904040813  -90.5201829919  1519.86248
GUAT 03AUG29 2003.6578 52880 1233 5  -90.5  -2174 -0.740581   1613669  0.151043  1519  0.878885  0.0000 0.000939 0.000752 0.003484 -0.026632 -0.006823 -0.026340  14.5904041064  -90.5201829576  1519.87889
GUAT 03AUG30 2003.6605 52881 1233 6  -90.5  -2174 -0.743363   1613669  0.150918  1519  0.872505  0.0000 0.000921 0.000766 0.003503  0.019147 -0.056264  0.001629  14.5904041052  -90.5201829836  1519.87250
GUAT 03AUG31 2003.6632 52882 1234 0  -90.5  -2174 -0.740562   1613669  0.152178  1519  0.868358  0.0000 0.000937 0.000772 0.003592 -0.032438  0.009101 -0.002253  14.5904041165  -90.5201829578  1519.86836
GUAT 03SEP01 2003.6660 52883 1234 1  -90.5  -2174 -0.741099   1613669  0.152311  1519  0.878224  0.0000 0.000961 0.000826 0.003730 -0.036474  0.041126  0.082917  14.5904041177  -90.5201829629  1519.87822
GUAT 03SEP02 2003.6687 52884 1234 2  -90.5  -2174 -0.740130   1613669  0.150748  1519  0.873536  0.0000 0.000938 0.000761 0.003612  0.014559  0.010782 -0.079223  14.5904041035  -90.5201829541  1519.87354
GUAT 03SEP03 2003.6715 52885 1234 3  -90.5  -2174 -0.742633   1613669  0.150681  1519  0.875129  0.0000 0.001007 0.000793 0.003848 -0.048258  0.037097 -0.069052  14.5904041029  -90.5201829775  1519.87513
GUAT 03SEP04 2003.6742 52886 1234 4  -90.5  -2174 -0.742994   1613669  0.158655  1519  0.860964  0.0000 0.000978 0.000846 0.003894 -0.030464 -0.019876  0.088010  14.5904041749  -90.5201829810  1519.86096
GUAT 03SEP05 2003.6769 52887 1234 5  -90.5  -2174 -0.742064   1613669  0.158291  1519  0.886848  0.0000 0.000957 0.000808 0.003885 -0.044351 -0.003151 -0.065157  14.5904041716  -90.5201829725  1519.88685
GUAT 03SEP06 2003.6797 52888 1234 6  -90.5  -2174 -0.745844   1613669  0.151950  1519  0.880376  0.0000 0.000964 0.000807 0.003740 -0.015425  0.038429 -0.015401  14.5904041142  -90.5201830077  1519.88038
GUAT 03SEP07 2003.6824 52889 1235 0  -90.5  -2174 -0.742958   1613669  0.152404  1519  0.879733  0.0000 0.000976 0.000798 0.003757 -0.083118  0.043540 -0.075126  14.5904041183  -90.5201829811  1519.87973
GUAT 03SEP08 2003.6851 52890 1235 1  -90.5  -2174 -0.741368   1613669  0.151186  1519  0.876662  0.0000 0.000917 0.000766 0.003603  0.000407 -0.015632 -0.049716  14.5904041072  -90.5201829665  1519.87666
GUAT 03SEP09 2003.6879 52891 1235 2  -90.5  -2174 -0.737234   1613669  0.151382  1519  0.875194  0.0000 0.000959 0.000783 0.003688 -0.011011 -0.020639 -0.056337  14.5904041090  -90.5201829283  1519.87519
GUAT 03SEP10 2003.6906 52892 1235 3  -90.5  -2174 -0.743691   1613669  0.150587  1519  0.865848  0.0000 0.000958 0.000778 0.003654  0.018667 -0.053672 -0.020254  14.5904041017  -90.5201829884  1519.86585
GUAT 03SEP11 2003.6934 52893 1235 4  -90.5  -2174 -0.741665   1613669  0.154306  1519  0.876595  0.0000 0.000935 0.000763 0.003486  0.000656 -0.050327  0.010205  14.5904041353  -90.5201829698  1519.87660
GUAT 03SEP12 2003.6961 52894 1235 5  -90.5  -2174 -0.739257   1613669  0.152353  1519  0.873453  0.0000 0.000933 0.000760 0.003556  0.024025  0.010569  0.017007  14.5904041176  -90.5201829476  1519.87345
GUAT 03SEP13 2003.6988 52895 1235 6  -90.5  -2174 -0.741732   1613669  0.148870  1519  0.873420  0.0000 0.000922 0.000752 0.003585 -0.019127 -0.044024 -0.048940  14.5904040861  -90.5201829707  1519.87342
GUAT 03SEP14 2003.7016 52896 1236 0  -90.5  -2174 -0.739737   1613669  0.153202  1519  0.876620  0.0000 0.000935 0.000791 0.003772  0.032239 -0.052273 -0.038975  14.5904041252  -90.5201829524  1519.87662
GUAT 03SEP15 2003.7043 52897 1236 1  -90.5  -2174 -0.740816   1613669  0.151079  1519  0.874216  0.0000 0.000938 0.000780 0.003684 -0.008282  0.030849 -0.006039  14.5904041059  -90.5201829625  1519.87422
GUAT 03SEP16 2003.7070 52898 1236 2  -90.5  -2174 -0.740406   1613669  0.155679  1519  0.872435  0.0000 0.000918 0.000742 0.003507  0.032411 -0.042666  0.016900  14.5904041475  -90.5201829589  1519.87243
GUAT 03SEP17 2003.7098 52899 1236 3  -90.5  -2174 -0.737664   1613669  0.156063  1519  0.871366  0.0000 0.000967 0.000811 0.003849 -0.029713 -0.027642  0.058620  14.5904041509  -90.5201829336  1519.87137
GUAT 03SEP18 2003.7125 52900 1236 4  -90.5  -2174 -0.741170   1613669  0.153738  1519  0.883537  0.0000 0.000965 0.000790 0.003720  0.031120  0.033793  0.002105  14.5904041299  -90.5201829663  1519.88354
GUAT 03SEP19 2003.7153 52901 1236 5  -90.5  -2174 -0.741070   1613669  0.157189  1519  0.873198  0.0000 0.000983 0.000807 0.003809  0.021298  0.025573  0.049174  14.5904041610  -90.5201829655  1519.87320
GUAT 03SEP20 2003.7180 52902 1236 6  -90.5  -2174 -0.740218   1613669  0.152485  1519  0.877051  0.0000 0.000980 0.000773 0.003676  0.027550  0.036417 -0.026450  14.5904041185  -90.5201829578  1519.87705
GUAT 03SEP21 2003.7207 52903 1237 0  -90.5  -2174 -0.741416   1613669  0.153563  1519  0.880923  0.0000 0.000962 0.000798 0.003734  0.005808 -0.000197  0.010447  14.5904041281  -90.5201829691  1519.88092
GUAT 03SEP22 2003.7235 52904 1237 1  -90.5  -2174 -0.741680   1613669  0.150410  1519  0.868868  0.0000 0.000979 0.000800 0.003790 -0.027169  0.031529 -0.001237  14.5904040996  -90.5201829717  1519.86887
GUAT 03SEP23 2003.7262 52905 1237 2  -90.5  -2174 -0.739713   1613669  0.152232  1519  0.877344  0.0000 0.000999 0.000811 0.003833 -0.001045 -0.040233  0.020376  14.5904041160  -90.5201829536  1519.87734
GUAT 03SEP24 2003.7290 52906 1237 3  -90.5  -2174 -0.740649   1613669  0.152065  1519  0.872271  0.0000 0.000959 0.000837 0.003897 -0.047127 -0.039862  0.105779  14.5904041145  -90.5201829624  1519.87227
GUAT 03SEP25 2003.7317 52907 1237 4  -90.5  -2174 -0.740711   1613669  0.149129  1519  0.870871  0.0000 0.000986 0.000821 0.003794  0.036792 -0.014228  0.048238  14.5904040879  -90.5201829632  1519.87087
GUAT 03SEP26 2003.7344 52908 1237 5  -90.5  -2174 -0.743874   1613669  0.150663  1519  0.869330  0.0000 0.000925 0.000763 0.003477  0.017632 -0.008041  0.048220  14.5904041017  -90.5201829927  1519.86933
GUAT 03SEP27 2003.7372 52909 1237 6  -90.5  -2174 -0.742451   1613669  0.149612  1519  0.862495  0.0000 0.000936 0.000758 0.003507 -0.009415  0.030771 -0.019819  14.5904040922  -90.5201829796  1519.86250
GUAT 03SEP28 2003.7399 52910 1238 0  -90.5  -2174 -0.738208   1613669  0.151276  1519  0.871606  0.0000 0.000953 0.000764 0.003609  0.018354  0.002508 -0.028122  14.5904041072  -90.5201829404  1519.87161
GUAT 03SEP29 2003.7426 52911 1238 1  -90.5  -2174 -0.741131   1613669  0.150345  1519  0.875518  0.0000 0.000947 0.000785 0.003684  0.049533 -0.022988  0.014443  14.5904040987  -90.5201829677  1519.87552
GUAT 03SEP30 2003.7454 52912 1238 2  -90.5  -2174 -0.741785   1613669  0.150154  1519  0.870513  0.0000 0.000971 0.000808 0.003806  0.083457 -0.076072 -0.026063  14.5904040969  -90.5201829739  1519.87051
GUAT 03OCT01 2003.7481 52913 1238 3  -90.5  -2174 -0.738390   1613669  0.149960  1519  0.852391  0.0000 0.001161 0.000976 0.004590  0.057010  0.070404 -0.023340  14.5904040952  -90.5201829426  1519.85239
GUAT 03OCT04 2003.7563 52916 1238 6  -90.5  -2174 -0.739125   1613669  0.147867  1519  0.863960  0.0000 0.000996 0.000791 0.003876  0.016421 -0.040985 -0.064020  14.5904040761  -90.5201829499  1519.86396
GUAT 03OCT05 2003.7591 52917 1239 0  -90.5  -2174 -0.741662   1613669  0.148612  1519  0.866570  0.0000 0.000897 0.000774 0.003489  0.017473 -0.020379  0.041655  14.5904040828  -90.5201829736  1519.86657
GUAT 03OCT06 2003.7618 52918 1239 1  -90.5  -2174 -0.742293   1613669  0.150959  1519  0.862042  0.0000 0.001237 0.001088 0.004856  0.009171 -0.003875  0.027708  14.5904041040  -90.5201829796  1519.86204
GUAT 03OCT07 2003.7645 52919 1239 2  -90.5  -2174 -0.741263   1613669  0.150309  1519  0.857976  0.0000 0.000938 0.000783 0.003593 -0.017783  0.005899  0.045854  14.5904040981  -90.5201829702  1519.85798
GUAT 03OCT08 2003.7673 52920 1239 3  -90.5  -2174 -0.741328   1613669  0.149406  1519  0.865389  0.0000 0.000930 0.000787 0.003698 -0.013951 -0.026175  0.017827  14.5904040899  -90.5201829710  1519.86539
GUAT 03OCT09 2003.7700 52921 1239 4  -90.5  -2174 -0.742317   1613669  0.148466  1519  0.868598  0.0000 0.000954 0.000775 0.003682  0.035253  0.003975 -0.026885  14.5904040813  -90.5201829803  1519.86860
GUAT 03OCT10 2003.7728 52922 1239 5  -90.5  -2174 -0.740434   1613669  0.147925  1519  0.858357  0.0000 0.000914 0.000773 0.003579  0.032213 -0.031444 -0.043361  14.5904040764  -90.5201829630  1519.85836
GUAT 03OCT11 2003.7755 52923 1239 6  -90.5  -2174 -0.741870   1613669  0.152675  1519  0.858646  0.0000 0.000952 0.000765 0.003639  0.020662 -0.070157 -0.027466  14.5904041193  -90.5201829765  1519.85865
GUAT 03OCT12 2003.7782 52924 1240 0  -90.5  -2174 -0.743070   1613669  0.151502  1519  0.866143  0.0000 0.000959 0.000782 0.003720  0.029428 -0.066086  0.044730  14.5904041086  -90.5201829878  1519.86614
GUAT 03OCT13 2003.7810 52925 1240 1  -90.5  -2174 -0.742574   1613669  0.150167  1519  0.869156  0.0000 0.000913 0.000775 0.003506  0.045627 -0.031243  0.056854  14.5904040965  -90.5201829833  1519.86916
GUAT 03OCT14 2003.7837 52926 1240 2  -90.5  -2174 -0.742844   1613669  0.151443  1519  0.872080  0.0000 0.000953 0.000783 0.003662  0.041496 -0.035842  0.013878  14.5904041080  -90.5201829860  1519.87208
GUAT 03OCT15 2003.7864 52927 1240 3  -90.5  -2174 -0.737860   1613669  0.153701  1519  0.853459  0.0000 0.000896 0.000749 0.003374 -0.024105  0.049823  0.001221  14.5904041284  -90.5201829399  1519.85346
GUAT 03OCT16 2003.7892 52928 1240 4  -90.5  -2174 -0.740998   1613669  0.151766  1519  0.864664  0.0000 0.000919 0.000761 0.003537  0.018827 -0.023949 -0.000077  14.5904041108  -90.5201829692  1519.86466
GUAT 03OCT17 2003.7919 52929 1240 5  -90.5  -2174 -0.741394   1613669  0.149145  1519  0.863661  0.0000 0.000910 0.000753 0.003513 -0.041276 -0.030074  0.037912  14.5904040871  -90.5201829730  1519.86366
GUAT 03OCT18 2003.7947 52930 1240 6  -90.5  -2174 -0.740445   1613669  0.150226  1519  0.861521  0.0000 0.000887 0.000741 0.003350  0.029651 -0.045990  0.028522  14.5904040968  -90.5201829644  1519.86152
GUAT 03OCT19 2003.7974 52931 1241 0  -90.5  -2174 -0.739810   1613669  0.152844  1519  0.859961  0.0000 0.000929 0.000760 0.003518  0.036862  0.030770  0.023542  14.5904041205  -90.5201829587  1519.85996
GUAT 03OCT20 2003.8001 52932 1241 1  -90.5  -2174 -0.740200   1613669  0.149076  1519  0.860497  0.0000 0.000866 0.000743 0.003418  0.026987 -0.075181 -0.015308  14.5904040864  -90.5201829624  1519.86050
GUAT 03OCT21 2003.8029 52933 1241 2  -90.5  -2174 -0.739088   1613669  0.151385  1519  0.862817  0.0000 0.000853 0.000731 0.003250  0.006098 -0.049031  0.033740  14.5904041072  -90.5201829523  1519.86282
GUAT 03OCT22 2003.8056 52934 1241 3  -90.5  -2174 -0.741111   1613669  0.151491  1519  0.863026  0.0000 0.000911 0.000745 0.003307 -0.014762 -0.000152  0.041441  14.5904041081  -90.5201829712  1519.86303
GUAT 03OCT23 2003.8084 52935 1241 4  -90.5  -2174 -0.738543   1613669  0.151171  1519  0.860840  0.0000 0.000920 0.000775 0.003568  0.029282 -0.072506 -0.039123  14.5904041052  -90.5201829476  1519.86084
GUAT 03OCT24 2003.8111 52936 1241 5  -90.5  -2174 -0.739509   1613669  0.152142  1519  0.864697  0.0000 0.000935 0.000812 0.003618  0.001949 -0.045159  0.000954  14.5904041139  -90.5201829567  1519.86470
GUAT 03OCT25 2003.8138 52937 1241 6  -90.5  -2174 -0.739015   1613669  0.150237  1519  0.864955  0.0000 0.000905 0.000729 0.003411  0.007422 -0.047290 -0.042458  14.5904040966  -90.5201829522  1519.86495
GUAT 03OCT26 2003.8166 52938 1242 0  -90.5  -2174 -0.740209   1613669  0.148027  1519  0.857150  0.0000 0.000921 0.000744 0.003501  0.014097 -0.027625 -0.014894  14.5904040766  -90.5201829635  1519.85715
GUAT 03OCT27 2003.8193 52939 1242 1  -90.5  -2174 -0.739008   1613669  0.150876  1519  0.866573  0.0000 0.000902 0.000792 0.003571  0.037561  0.007035  0.108745  14.5904041023  -90.5201829525  1519.86657
GUAT 03OCT28 2003.8220 52940 1242 2  -90.5  -2174 -0.737117   1613669  0.153130  1519  0.865215  0.0000 0.000956 0.000850 0.003811 -0.026830 -0.010768  0.120048  14.5904041227  -90.5201829351  1519.86522
GUAT 03OCT29 2003.8248 52941 1242 3  -90.5  -2174 -0.738520   1613669  0.154138  1519  0.868582  0.0000 0.000919 0.000775 0.003540  0.025560 -0.021993  0.021800  14.5904041317  -90.5201829483  1519.86858
GUAT 03OCT30 2003.8275 52942 1242 4  -90.5  -2174 -0.740740   1613669  0.154671  1519  0.857177  0.0000 0.001087 0.000877 0.003911  0.116760 -0.024010 -0.003080  14.5904041365  -90.5201829691  1519.85718
GUAT 03OCT31 2003.8303 52943 1242 5  -90.5  -2174 -0.737420   1613669  0.150906  1519  0.851609  0.0000 0.001005 0.000857 0.003809  0.005432 -0.072651 -0.035213  14.5904041024  -90.5201829384  1519.85161
GUAT 03NOV01 2003.8330 52944 1242 6  -90.5  -2174 -0.737434   1613669  0.150650  1519  0.869022  0.0000 0.000952 0.000788 0.003743 -0.007577 -0.035779 -0.082860  14.5904041001  -90.5201829387  1519.86902
GUAT 03NOV02 2003.8357 52945 1243 0  -90.5  -2174 -0.739961   1613669  0.151593  1519  0.853892  0.0000 0.000926 0.000801 0.003571  0.054005  0.037813  0.022163  14.5904041086  -90.5201829623  1519.85389
GUAT 03NOV03 2003.8385 52946 1243 1  -90.5  -2174 -0.739613   1613669  0.150356  1519  0.864558  0.0000 0.000882 0.000781 0.003421  0.004859  0.014502  0.025487  14.5904040973  -90.5201829592  1519.86456
GUAT 03NOV04 2003.8412 52947 1243 2  -90.5  -2174 -0.738134   1613669  0.158388  1519  0.860604  0.0000 0.000918 0.000765 0.003510 -0.007363 -0.010156 -0.033872  14.5904041699  -90.5201829457  1519.86060
GUAT 03NOV05 2003.8439 52948 1243 3  -90.5  -2174 -0.737671   1613669  0.154402  1519  0.863117  0.0000 0.000911 0.000755 0.003533  0.007614 -0.051241 -0.048541  14.5904041338  -90.5201829415  1519.86312
GUAT 03NOV06 2003.8467 52949 1243 4  -90.5  -2174 -0.737751   1613669  0.150387  1519  0.856143  0.0000 0.000928 0.000769 0.003526  0.003858 -0.025315 -0.011409  14.5904040975  -90.5201829424  1519.85614
GUAT 03NOV07 2003.8494 52950 1243 5  -90.5  -2174 -0.737633   1613669  0.152047  1519  0.864039  0.0000 0.000904 0.000753 0.003389  0.018931 -0.061584 -0.004327  14.5904041124  -90.5201829415  1519.86404
GUAT 03NOV08 2003.8522 52951 1243 6  -90.5  -2174 -0.737475   1613669  0.153056  1519  0.865865  0.0000 0.000907 0.000764 0.003502 -0.004737 -0.041899 -0.029328  14.5904041215  -90.5201829402  1519.86587
GUAT 03NOV09 2003.8549 52952 1244 0  -90.5  -2174 -0.739058   1613669  0.154358  1519  0.862944  0.0000 0.000921 0.000783 0.003529  0.031803 -0.035210  0.003945  14.5904041332  -90.5201829551  1519.86294
GUAT 03NOV10 2003.8576 52953 1244 1  -90.5  -2174 -0.737296   1613669  0.152487  1519  0.869123  0.0000 0.000950 0.000784 0.003672  0.010100 -0.035623  0.009322  14.5904041163  -90.5201829389  1519.86912
GUAT 03NOV11 2003.8604 52954 1244 2  -90.5  -2174 -0.738160   1613669  0.150476  1519  0.853957  0.0000 0.000950 0.000771 0.003550  0.015881 -0.058260  0.010477  14.5904040981  -90.5201829470  1519.85396
GUAT 03NOV12 2003.8631 52955 1244 3  -90.5  -2174 -0.738706   1613669  0.151991  1519  0.867470  0.0000 0.000930 0.000767 0.003485 -0.004878  0.021547 -0.005567  14.5904041117  -90.5201829523  1519.86747
GUAT 03NOV13 2003.8658 52956 1244 4  -90.5  -2174 -0.736627   1613669  0.153633  1519  0.875749  0.0000 0.000973 0.000807 0.003716  0.018141 -0.087284  0.037112  14.5904041265  -90.5201829331  1519.87575
GUAT 03NOV14 2003.8686 52957 1244 5  -90.5  -2174 -0.737363   1613669  0.150380  1519  0.863434  0.0000 0.000996 0.000825 0.003925  0.034210 -0.047800 -0.032407  14.5904040971  -90.5201829401  1519.86343
GUAT 03NOV15 2003.8713 52958 1244 6  -90.5  -2174 -0.741193   1613669  0.155118  1519  0.864496  0.0000 0.000920 0.000776 0.003494  0.015294  0.050471 -0.048840  14.5904041399  -90.5201829758  1519.86450
GUAT 03NOV16 2003.8741 52959 1245 0  -90.5  -2174 -0.738675   1613669  0.150875  1519  0.863964  0.0000 0.000934 0.000769 0.003422  0.011604  0.014025  0.016139  14.5904041015  -90.5201829526  1519.86396
GUAT 03NOV17 2003.8768 52960 1245 1  -90.5  -2174 -0.737072   1613669  0.158193  1519  0.867346  0.0000 0.000975 0.000797 0.003675 -0.032013 -0.009000  0.029560  14.5904041676  -90.5201829379  1519.86735
GUAT 03NOV18 2003.8795 52961 1245 2  -90.5  -2174 -0.739392   1613669  0.154979  1519  0.875017  0.0000 0.000973 0.000792 0.003640  0.021598 -0.080713 -0.002448  14.5904041385  -90.5201829596  1519.87502
GUAT 03NOV19 2003.8823 52962 1245 3  -90.5  -2174 -0.738196   1613669  0.153725  1519  0.865524  0.0000 0.001025 0.000862 0.003911  0.048208  0.049439  0.051063  14.5904041271  -90.5201829487  1519.86552
GUAT 03NOV20 2003.8850 52963 1245 4  -90.5  -2174 -0.741637   1613669  0.151062  1519  0.860334  0.0000 0.000989 0.000801 0.003746  0.009806  0.024799 -0.050168  14.5904041030  -90.5201829808  1519.86033
GUAT 03NOV21 2003.8877 52964 1245 5  -90.5  -2174 -0.740862   1613669  0.152489  1519  0.862423  0.0000 0.000946 0.000787 0.003560  0.017214  0.027309  0.010973  14.5904041158  -90.5201829737  1519.86242
GUAT 03NOV22 2003.8905 52965 1245 6  -90.5  -2174 -0.737484   1613669  0.152916  1519  0.869927  0.0000 0.000958 0.000791 0.003689  0.012395  0.056534 -0.022970  14.5904041197  -90.5201829425  1519.86993
GUAT 03NOV23 2003.8932 52966 1246 0  -90.5  -2174 -0.739053   1613669  0.156152  1519  0.863352  0.0000 0.000962 0.000789 0.003501  0.011794 -0.005013 -0.011446  14.5904041489  -90.5201829573  1519.86335
GUAT 03NOV24 2003.8960 52967 1246 1  -90.5  -2174 -0.741419   1613669  0.155106  1519  0.856788  0.0000 0.000942 0.000771 0.003534  0.007399  0.014191 -0.026706  14.5904041394  -90.5201829794  1519.85679
GUAT 03NOV25 2003.8987 52968 1246 2  -90.5  -2174 -0.736263   1613669  0.150794  1519  0.859024  0.0000 0.000953 0.000810 0.003584  0.000954  0.029443  0.046267  14.5904041003  -90.5201829317  1519.85902
GUAT 03NOV26 2003.9014 52969 1246 3  -90.5  -2174 -0.739454   1613669  0.154738  1519  0.868643  0.0000 0.000897 0.000757 0.003407  0.025901 -0.045000  0.023456  14.5904041360  -90.5201829615  1519.86864
GUAT 03NOV27 2003.9042 52970 1246 4  -90.5  -2174 -0.739414   1613669  0.155352  1519  0.861288  0.0000 0.000948 0.000754 0.003586 -0.004263 -0.055429 -0.034522  14.5904041415  -90.5201829613  1519.86129
GUAT 03NOV28 2003.9069 52971 1246 5  -90.5  -2174 -0.738214   1613669  0.154599  1519  0.860429  0.0000 0.000908 0.000786 0.003493  0.023299  0.018521  0.031654  14.5904041346  -90.5201829503  1519.86043
GUAT 03NOV29 2003.9097 52972 1246 6  -90.5  -2174 -0.740746   1613669  0.153370  1519  0.861354  0.0000 0.000913 0.000755 0.003352  0.036159 -0.022981  0.014105  14.5904041235  -90.5201829739  1519.86135
GUAT 03NOV30 2003.9124 52973 1247 0  -90.5  -2174 -0.737990   1613669  0.155157  1519  0.856365  0.0000 0.000896 0.000734 0.003297  0.013068 -0.047890  0.023919  14.5904041396  -90.5201829485  1519.85636
GUAT 03DEC01 2003.9151 52974 1247 1  -90.5  -2174 -0.737130   1613669  0.154750  1519  0.860820  0.0000 0.000883 0.000753 0.003356  0.024358 -0.025783 -0.016748  14.5904041359  -90.5201829407  1519.86082
GUAT 03DEC02 2003.9179 52975 1247 2  -90.5  -2174 -0.740564   1613669  0.150538  1519  0.860396  0.0000 0.000967 0.000789 0.003519 -0.009140 -0.013063  0.021654  14.5904040977  -90.5201829727  1519.86040
GUAT 03DEC03 2003.9206 52976 1247 3  -90.5  -2174 -0.738184   1613669  0.155903  1519  0.867724  0.0000 0.000995 0.000848 0.003792  0.042100 -0.041198 -0.002414  14.5904041462  -90.5201829508  1519.86772
GUAT 03DEC21 2003.9699 52994 1250 0  -90.5  -2174 -0.734815   1613669  0.156786  1519  0.865691  0.0000 0.000898 0.000753 0.003382 -0.000261 -0.029061  0.008971  14.5904041534  -90.5201829224  1519.86569
GUAT 03DEC22 2003.9726 52995 1250 1  -90.5  -2174 -0.734489   1613669  0.156660  1519  0.867551  0.0000 0.000904 0.000750 0.003369  0.014253 -0.041551  0.015943  14.5904041522  -90.5201829196  1519.86755
GUAT 03DEC23 2003.9754 52996 1250 2  -90.5  -2174 -0.734430   1613669  0.153846  1519  0.862875  0.0000 0.000925 0.000746 0.003432  0.035440 -0.054624  0.008421  14.5904041267  -90.5201829192  1519.86287
GUAT 03DEC24 2003.9781 52997 1250 3  -90.5  -2174 -0.735146   1613669  0.154608  1519  0.866419  0.0000 0.000952 0.000778 0.003518 -0.009599 -0.051366  0.002920  14.5904041336  -90.5201829260  1519.86642
GUAT 03DEC25 2003.9808 52998 1250 4  -90.5  -2174 -0.734103   1613669  0.156379  1519  0.872764  0.0000 0.000909 0.000751 0.003406  0.006555 -0.055195 -0.020957  14.5904041495  -90.5201829165  1519.87276
GUAT 03DEC26 2003.9836 52999 1250 5  -90.5  -2174 -0.735666   1613669  0.152665  1519  0.871614  0.0000 0.000937 0.000756 0.003548 -0.016601  0.043166 -0.099266  14.5904041159  -90.5201829311  1519.87161
GUAT 03DEC27 2003.9863 53000 1250 6  -90.5  -2174 -0.733868   1613669  0.154094  1519  0.863968  0.0000 0.000910 0.000751 0.003438  0.001510 -0.002376 -0.006226  14.5904041288  -90.5201829146  1519.86397
GUAT 03DEC28 2003.9890 53001 1251 0  -90.5  -2174 -0.730070   1613669  0.157803  1519  0.863524  0.0000 0.000924 0.000759 0.003523 -0.013859 -0.060777 -0.096462  14.5904041623  -90.5201828795  1519.86352
GUAT 03DEC29 2003.9918 53002 1251 1  -90.5  -2174 -0.733673   1613669  0.157118  1519  0.865176  0.0000 0.000944 0.000780 0.003715 -0.008821 -0.065796 -0.083571  14.5904041561  -90.5201829131  1519.86518
GUAT 03DEC30 2003.9945 53003 1251 2  -90.5  -2174 -0.732777   1613669  0.157470  1519  0.866605  0.0000 0.000987 0.000803 0.003734 -0.003058 -0.051229 -0.061851  14.5904041592  -90.5201829050  1519.86660
GUAT 03DEC31 2003.9973 53004 1251 3  -90.5  -2174 -0.731303   1613669  0.155150  1519  0.865639  0.0000 0.000907 0.000748 0.003456  0.029084 -0.068515 -0.014776  14.5904041382  -90.5201828914  1519.86564
GUAT 04JAN01 2004.0000 53005 1251 4  -90.5  -2174 -0.733034   1613669  0.152433  1519  0.867257  0.0000 0.000959 0.000807 0.003728 -0.028219 -0.005952  0.052978  14.5904041136  -90.5201829077  1519.86726
GUAT 04JAN02 2004.0027 53006 1251 5  -90.5  -2174 -0.732234   1613669  0.151998  1519  0.863652  0.0000 0.000950 0.000768 0.003558 -0.034105  0.001115 -0.065934  14.5904041096  -90.5201829004  1519.86365
GUAT 04JAN03 2004.0055 53007 1251 6  -90.5  -2174 -0.732176   1613669  0.153238  1519  0.868427  0.0000 0.000923 0.000765 0.003518 -0.041344 -0.009761 -0.065648  14.5904041208  -90.5201829000  1519.86843
GUAT 04JAN04 2004.0082 53008 1252 0  -90.5  -2174 -0.730628   1613669  0.157326  1519  0.869082  0.0000 0.000964 0.000765 0.003646  0.017893 -0.117228 -0.019390  14.5904041577  -90.5201828858  1519.86908
GUAT 04JAN05 2004.0110 53009 1252 1  -90.5  -2174 -0.731832   1613669  0.155328  1519  0.874452  0.0000 0.000940 0.000781 0.003466 -0.001886 -0.046847 -0.020093  14.5904041396  -90.5201828972  1519.87445
GUAT 04JAN06 2004.0137 53010 1252 2  -90.5  -2174 -0.731684   1613669  0.155934  1519  0.871762  0.0000 0.000955 0.000819 0.003711  0.005247 -0.036659  0.011730  14.5904041450  -90.5201828960  1519.87176
GUAT 04JAN07 2004.0164 53011 1252 3  -90.5  -2174 -0.729685   1613669  0.159523  1519  0.863877  0.0000 0.000920 0.000788 0.003517 -0.004211 -0.033705  0.050644  14.5904041774  -90.5201828776  1519.86388
