site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
GUAT 00AUG23 2000.6434 51779 1076 3  -90.5  -2174 -0.781502   1613669  0.127143  1519  0.837351  0.0000 0.001200 0.000968 0.004335  0.123269 -0.118777  0.011986  14.5904039374  -90.5201831603  1519.83735
GUAT 00AUG24 2000.6461 51780 1076 4  -90.5  -2174 -0.780655   1613669  0.134155  1519  0.838662  0.0000 0.001096 0.000858 0.003972  0.063642 -0.087192 -0.086336  14.5904040007  -90.5201831526  1519.83866
GUAT 00AUG25 2000.6489 51781 1076 5  -90.5  -2174 -0.778451   1613669  0.133653  1519  0.852431  0.0000 0.001039 0.000829 0.003715  0.046732 -0.010810  0.016756  14.5904039961  -90.5201831323  1519.85243
GUAT 00AUG26 2000.6516 51782 1076 6  -90.5  -2174 -0.779379   1613669  0.129299  1519  0.859039  0.0000 0.001003 0.000822 0.003646  0.022746 -0.035742  0.033186  14.5904039567  -90.5201831411  1519.85904
GUAT 00AUG27 2000.6543 51783 1077 0  -90.5  -2174 -0.781083   1613669  0.138004  1519  0.862608  0.0000 0.000988 0.000812 0.003671  0.002469 -0.061923 -0.023689  14.5904040354  -90.5201831571  1519.86261
GUAT 00AUG28 2000.6571 51784 1077 1  -90.5  -2174 -0.783461   1613669  0.133225  1519  0.861336  0.0000 0.001054 0.000867 0.003973  0.016663 -0.098696 -0.007744  14.5904039921  -90.5201831793  1519.86134
GUAT 00AUG29 2000.6598 51785 1077 2  -90.5  -2174 -0.778749   1613669  0.133712  1519  0.861177  0.0000 0.001048 0.000883 0.003940 -0.003667 -0.078604  0.060987  14.5904039965  -90.5201831358  1519.86118
GUAT 00AUG30 2000.6626 51786 1077 3  -90.5  -2174 -0.781374   1613669  0.136460  1519  0.856713  0.0000 0.001015 0.000837 0.003829 -0.012523 -0.015745 -0.013515  14.5904040213  -90.5201831603  1519.85671
GUAT 00AUG31 2000.6653 51787 1077 4  -90.5  -2174 -0.782300   1613669  0.133211  1519  0.874019  0.0000 0.000994 0.000857 0.003884 -0.008461 -0.105578  0.042330  14.5904039919  -90.5201831690  1519.87402
GUAT 00SEP01 2000.6680 51788 1077 5  -90.5  -2174 -0.780394   1613669  0.134093  1519  0.854070  0.0000 0.000995 0.000861 0.003877  0.039821 -0.099763  0.054227  14.5904039998  -90.5201831515  1519.85407
